                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1522,                 3.1656,                 4.2055,                0.00452,                0.97531,                 0.0527,                0.02135,                 2.0923,                 3.1644,                 4.1596,                  8e-05,                  8e-05,                  8e-05
                      2,                 3.0875,                   3.23,                 4.2085,                0.00452,                0.97531,                0.72043,                0.12125,                 2.0929,                 3.1645,                 4.1603,             0.00017644,             0.00017644,             0.00017644
                      3,                 3.1256,                 3.1157,                 4.2121,                0.00452,                0.97531,                0.35279,                0.07009,                 2.0954,                 3.1604,                 4.1601,             0.00026891,             0.00026891,             0.00026891
                      4,                 3.0591,                 3.0991,                 4.1687,                0.00466,                0.97531,                0.09921,                0.03238,                 2.0971,                 3.1583,                  4.159,             0.00035743,             0.00035743,             0.00035743
                      5,                  3.182,                 3.1268,                 4.1684,                0.00458,                0.97531,                0.19865,                0.04367,                 2.0913,                 3.1545,                 4.1537,             0.00044198,             0.00044198,             0.00044198
                      6,                 2.9683,                 3.1077,                 4.1552,                0.00454,                0.97531,                0.25869,                0.06412,                 2.0759,                 3.1478,                 4.1459,             0.00052258,             0.00052258,             0.00052258
                      7,                 2.9833,                 2.9786,                 4.1585,                0.00426,                0.96296,                0.19308,                0.04257,                 2.0578,                   3.15,                 4.1335,             0.00059922,             0.00059922,             0.00059922
                      8,                 2.9052,                 3.0905,                 4.0918,                0.00441,                0.98765,                0.16635,                0.03961,                 2.0735,                 3.1426,                 4.1316,             0.00067189,             0.00067189,             0.00067189
                      9,                 3.0267,                 3.0435,                 4.0771,                0.00438,                0.98765,                0.37301,                0.10387,                 2.0879,                 3.1171,                 4.1113,             0.00074061,             0.00074061,             0.00074061
                     10,                 3.0059,                 2.9703,                 4.0398,                0.00436,                0.98765,                0.36365,                0.09092,                 2.0903,                 3.0744,                 4.1073,             0.00080536,             0.00080536,             0.00080536
                     11,                 2.9876,                 2.8666,                 3.9509,                0.00438,                0.98765,                0.51165,                0.16426,                 2.0766,                 3.0116,                 4.1241,             0.00086616,             0.00086616,             0.00086616
                     12,                 3.1417,                 2.8981,                 3.9207,                0.00444,                0.98765,                0.57732,                0.28036,                 2.0486,                 2.9254,                 4.0512,               0.000923,               0.000923,               0.000923
                     13,                 2.9348,                 3.0637,                 3.8661,                0.00448,                      1,                0.55129,                0.25302,                 2.1046,                 2.9022,                 4.1327,             0.00097587,             0.00097587,             0.00097587
